Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Total score
Malawi,Sub-Saharan Africa,131,4.29,0.06,0.02,0.41,0.23,0.43,0.07,0.33,2.81,139.58
Sri Lanka,Southern Asia,132,4.27,0.04,0.84,1.02,0.71,0.54,0.09,0.41,0.67,140.54
Cameroon,Sub-Saharan Africa,133,4.25,0.05,0.42,0.89,0.23,0.49,0.06,0.21,1.95,141.5
Bulgaria,Central and Eastern Europe,134,4.22,0.05,1.01,1.11,0.77,0.31,0.01,0.12,0.9,142.44
Egypt,Middle East and Northern Africa,135,4.19,0.03,0.88,0.75,0.62,0.17,0.06,0.11,1.6,143.39
Yemen,Middle East and Northern Africa,136,4.08,0.04,0.55,0.68,0.4,0.36,0.08,0.09,1.92,144.15
Angola,Sub-Saharan Africa,137,4.03,0.05,0.76,0.86,0.17,0.1,0.07,0.12,1.95,145.07
Mali,Sub-Saharan Africa,138,4.0,0.06,0.26,1.04,0.21,0.39,0.12,0.19,1.79,145.99
Congo (Brazzaville),Sub-Saharan Africa,139,3.99,0.07,0.68,0.66,0.31,0.41,0.12,0.12,1.68,146.98
Comoros,Sub-Saharan Africa,140,3.96,0.05,0.24,0.79,0.36,0.23,0.2,0.17,1.96,147.91
Uganda,Sub-Saharan Africa,141,3.93,0.04,0.21,1.13,0.34,0.46,0.07,0.29,1.43,148.86
Senegal,Sub-Saharan Africa,142,3.9,0.04,0.36,0.98,0.44,0.37,0.11,0.21,1.44,149.81
Gabon,Sub-Saharan Africa,143,3.9,0.04,1.06,0.91,0.43,0.32,0.11,0.07,1.0,150.79
Niger,Sub-Saharan Africa,144,3.84,0.04,0.07,0.77,0.3,0.48,0.16,0.19,1.88,151.69
Cambodia,Southeastern Asia,145,3.82,0.05,0.46,0.63,0.61,0.66,0.07,0.4,0.98,152.64
Tanzania,Sub-Saharan Africa,146,3.78,0.05,0.29,1.0,0.38,0.33,0.06,0.34,1.38,153.56
Madagascar,Sub-Saharan Africa,147,3.68,0.04,0.21,0.67,0.47,0.19,0.08,0.21,1.85,154.36
Central African Republic,Sub-Saharan Africa,148,3.68,0.06,0.08,0.0,0.07,0.49,0.08,0.24,2.72,155.36
Chad,Sub-Saharan Africa,149,3.67,0.04,0.34,0.76,0.15,0.24,0.05,0.18,1.94,156.33
Guinea,Sub-Saharan Africa,150,3.66,0.04,0.17,0.46,0.24,0.38,0.12,0.29,1.99,157.31
Ivory Coast,Sub-Saharan Africa,151,3.66,0.05,0.47,0.77,0.15,0.47,0.18,0.2,1.42,158.31
Burkina Faso,Sub-Saharan Africa,152,3.59,0.04,0.26,0.85,0.27,0.39,0.13,0.22,1.46,159.17
Afghanistan,Southern Asia,153,3.58,0.03,0.32,0.3,0.3,0.23,0.1,0.37,1.95,160.15
Rwanda,Sub-Saharan Africa,154,3.46,0.04,0.22,0.77,0.43,0.59,0.55,0.23,0.67,160.93
Benin,Sub-Saharan Africa,155,3.34,0.04,0.29,0.35,0.32,0.48,0.08,0.18,1.63,161.68
Syria,Middle East and Northern Africa,156,3.01,0.05,0.66,0.47,0.72,0.16,0.19,0.47,0.33,162.01
Burundi,Sub-Saharan Africa,157,2.9,0.09,0.02,0.42,0.22,0.12,0.1,0.2,1.83,162.81
Togo,Sub-Saharan Africa,158,2.84,0.07,0.21,0.14,0.28,0.36,0.11,0.17,1.57,163.68
