Rank,Player_Name,Position,Team,Age,Birth_Year,Matches_Played,Matches_Started,Minutes_Played,Ninety_Minute_Equivalents,Goals,Assists,Goals_Assists,Non_Penalty_Goals,Penalty_Goals,Penalty_Attempts,Yellow_Cards,Red_Cards,Player_ID,Assists_Per_90,Goal_Contributions_Per_90,Goals_Per_90,Non_Penalty_Goals_Per_90,Non_Penalty_Goal_Contributions_Per_90
512,Masoud Shojaei,MF,ir IR Iran,30.0,1984,3,2,122,1.4,0,0,0,0,0,0,1,0,a898d91e,0.0,0.0,0.0,0.0,0.0
513,David Silva,FW,es Spain,28.0,1986,3,2,175,1.9,0,0,0,0,0,0,0,0,e2716bd0,0.0,0.0,0.0,0.0,0.0
514,Eduardo da Silva,FW,hr Croatia,31.0,1983,1,0,22,0.2,0,0,0,0,0,0,1,0,10ba6807,0.0,0.0,0.0,0.0,0.0
515,Francisco Silva,DF,cl Chile,28.0,1986,3,3,279,3.1,0,0,0,0,0,0,2,0,11d68e60,0.0,0.0,0.0,0.0,0.0
516,Thiago Silva,DF,br Brazil,29.0,1984,6,6,570,6.3,1,1,2,1,0,0,3,0,86e7deaf,0.16,0.32,0.16,0.16,0.32
517,Giovanni Sio,FW,ci Côte d'Ivoire,25.0,1989,1,0,8,0.1,0,0,0,0,0,0,0,0,0fe7f7bc,0.0,0.0,0.0,0.0,0.0
518,Salvatore Sirigu,GK,it Italy,27.0,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,10dc46f0,0.0,0.0,0.0,0.0,0.0
519,Maicon Sisenando,DF,br Brazil,32.0,1981,3,3,270,3.0,0,0,0,0,0,0,0,0,fbc5d136,0.0,0.0,0.0,0.0,0.0
520,Moussa Sissoko,MF,fr France,24.0,1989,4,2,215,2.4,1,0,1,1,0,0,0,0,2acd49b9,0.0,0.42,0.42,0.42,0.42
521,Islam Slimani,FW,dz Algeria,25.0,1988,4,3,324,3.6,2,1,3,2,0,0,0,0,ffec9769,0.28,0.83,0.56,0.56,0.83
522,Chris Smalling,DF,eng England,24.0,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,b6964eb6,0.0,0.0,0.0,0.0,0.0
523,Wesley Sneijder,MF,nl Netherlands,30.0,1984,6,6,584,6.5,1,1,2,1,0,0,0,0,ad625c12,0.15,0.31,0.15,0.15,0.31
524,Alexandre Song,DF,cm Cameroon,26.0,1987,2,2,117,1.3,0,0,0,0,0,0,0,1,1c32281d,0.0,0.0,0.0,0.0,0.0
525,Hillel Soudani,FW,dz Algeria,26.0,1987,3,2,165,1.8,0,0,0,0,0,0,0,0,7a435eb3,0.0,0.0,0.0,0.0,0.0
526,Emir Spahić,DF,ba Bosnia–Herz,33.0,1980,3,3,270,3.0,0,0,0,0,0,0,1,0,009633c8,0.0,0.0,0.0,0.0,0.0
527,Matthew Spiranovic,DF,au Australia,25.0,1988,3,3,270,3.0,0,0,0,0,0,0,1,0,faa88ff6,0.0,0.0,0.0,0.0,0.0
528,Darijo Srna,DF,hr Croatia,32.0,1982,3,3,270,3.0,0,0,0,0,0,0,0,0,edd6c8e9,0.0,0.0,0.0,0.0,0.0
529,Raheem Sterling,FW,eng England,19.0,1994,3,2,182,2.0,0,0,0,0,0,0,1,0,b400bde0,0.0,0.0,0.0,0.0,0.0
530,Valentin Stocker,MF,ch Switzerland,25.0,1989,1,1,45,0.5,0,0,0,0,0,0,0,0,6b85f966,0.0,0.0,0.0,0.0,0.0
531,Cristhian Stuani,FW,uy Uruguay,27.0,1986,4,1,180,2.0,0,0,0,0,0,0,0,0,220c11f1,0.0,0.0,0.0,0.0,0.0
532,Daniel Sturridge,FW,eng England,24.0,1989,3,3,259,2.9,1,0,1,1,0,0,0,0,1b7ec703,0.0,0.35,0.35,0.35,0.35
533,Luis Suárez,FW,uy Uruguay,27.0,1987,2,2,177,2.0,2,0,2,2,0,0,0,0,a6154613,0.0,1.02,1.02,1.02,1.02
534,Yun Suk-young,DF,kr Korea Republic,24.0,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,121612e7,0.0,0.0,0.0,0.0,0.0
535,Jung Sung-ryong,GK,kr Korea Republic,29.0,1985,2,2,180,2.0,0,0,0,0,0,0,0,0,68362e1c,0.0,0.0,0.0,0.0,0.0
536,Ki Sung-yueng,MF,kr Korea Republic,25.0,1989,3,3,270,3.0,0,1,1,0,0,0,1,0,1d8c99b0,0.33,0.33,0.0,0.0,0.33
537,Toni Šunjić,DF,ba Bosnia–Herz,25.0,1988,2,2,180,2.0,0,1,1,0,0,0,0,0,a79c321f,0.5,0.5,0.0,0.0,0.5
538,Tino-Sven Sušić,MF,ba Bosnia–Herz,22.0,1992,2,1,105,1.2,0,0,0,0,0,0,0,0,488350bf,0.0,0.0,0.0,0.0,0.0
539,Adam Taggart,FW,au Australia,21.0,1993,2,1,59,0.7,0,0,0,0,0,0,0,0,2c7d02e5,0.0,0.0,0.0,0.0,0.0
540,Saphir Taïder,MF,dz Algeria,22.0,1992,2,2,167,1.9,0,0,0,0,0,0,0,0,a12d0c05,0.0,0.0,0.0,0.0,0.0
541,Yeltsin Tejeda,MF,cr Costa Rica,22.0,1992,5,5,391,4.3,0,0,0,0,0,0,1,0,74319b04,0.0,0.0,0.0,0.0,0.0
542,Andranik Teymourian,MF,ir IR Iran,31.0,1983,3,3,270,3.0,0,0,0,0,0,0,1,0,dec2c4e1,0.0,0.0,0.0,0.0,0.0
543,Cheick Tioté,MF,ci Côte d'Ivoire,27.0,1986,3,3,240,2.7,0,0,0,0,0,0,1,0,e1270968,0.0,0.0,0.0,0.0,0.0
544,Vasilis Torosidis,DF,gr Greece,29.0,1985,4,4,390,4.3,0,0,0,0,0,0,1,0,8ea2c099,0.0,0.0,0.0,0.0,0.0
545,Fernando Torres,FW,es Spain,30.0,1984,3,1,145,1.6,1,0,1,1,0,0,0,0,bdf7b97d,0.0,0.62,0.62,0.62,0.62
546,Kolo Touré,DF,ci Côte d'Ivoire,33.0,1981,1,1,90,1.0,0,0,0,0,0,0,0,0,3301c9f4,0.0,0.0,0.0,0.0,0.0
547,Yaya Touré,MF,ci Côte d'Ivoire,31.0,1983,3,3,270,3.0,0,0,0,0,0,0,0,0,c204f844,0.0,0.0,0.0,0.0,0.0
548,James Troisi,FW,au Australia,25.0,1988,2,0,43,0.5,0,0,0,0,0,0,0,0,3b4706ab,0.0,0.0,0.0,0.0,0.0
549,Michael Uchebo,FW,ng Nigeria,27.0,1900,1,0,25,0.3,0,0,0,0,0,0,0,0,fab62497,0.0,0.0,0.0,0.0,0.0
550,Atsuto Uchida,DF,jp Japan,26.0,1988,3,3,270,3.0,0,0,0,0,0,0,0,0,7c81e887,0.0,0.0,0.0,0.0,0.0
551,Michael Umaña,DF,cr Costa Rica,31.0,1982,4,4,420,4.7,0,0,0,0,0,0,1,0,bd08a77d,0.0,0.0,0.0,0.0,0.0
552,Marco Ureña,FW,cr Costa Rica,24.0,1990,4,0,106,1.2,1,0,1,1,0,0,0,0,823e3479,0.0,0.85,0.85,0.85,0.85
553,Ejike Uzoenyi,FW,ng Nigeria,26.0,1988,1,0,16,0.2,0,0,0,0,0,0,0,0,047d9cc1,0.0,0.0,0.0,0.0,0.0
554,Mathieu Valbuena,FW,fr France,29.0,1984,4,4,331,3.7,1,1,2,1,0,0,0,0,7a4cea18,0.27,0.54,0.27,0.27,0.54
555,Carlos Valdés,DF,co Colombia,29.0,1985,1,1,90,1.0,0,0,0,0,0,0,0,0,9beb653a,0.0,0.0,0.0,0.0,0.0
556,Jorge Valdivia,MF,cl Chile,30.0,1983,3,1,94,1.0,1,0,1,1,0,0,0,0,11f1e522,0.0,0.96,0.96,0.96,0.96
557,Antonio Valencia,DF,ec Ecuador,28.0,1985,3,3,229,2.5,0,0,0,0,0,0,1,1,08aa17d0,0.0,0.0,0.0,0.0,0.0
558,Enner Valencia,FW,ec Ecuador,24.0,1989,3,3,270,3.0,3,0,3,3,0,0,1,0,fb485406,0.0,1.0,1.0,1.0,1.0
559,Noel Valladares,GK,hn Honduras,37.0,1977,3,3,270,3.0,0,0,0,0,0,0,0,0,af5aa006,0.0,0.0,0.0,0.0,0.0
560,Daniel Van Buyten,DF,be Belgium,36.0,1978,5,5,480,5.3,0,0,0,0,0,0,0,0,18a7d190,0.0,0.0,0.0,0.0,0.0
561,Anthony Vanden Borre,DF,be Belgium,26.0,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,6d31e0c1,0.0,0.0,0.0,0.0,0.0
562,Raphaël Varane,DF,fr France,21.0,1993,5,4,390,4.3,0,0,0,0,0,0,0,0,9f8e9423,0.0,0.0,0.0,0.0,0.0
563,Silvestre Varela,FW,pt Portugal,29.0,1985,2,0,51,0.6,1,0,1,1,0,0,0,0,9dffef9e,0.0,1.76,1.76,1.76,1.76
564,Eduardo Vargas,FW,cl Chile,24.0,1989,4,4,307,3.4,1,1,2,1,0,0,0,0,bd603c00,0.29,0.59,0.29,0.29,0.59
565,Miguel Veloso,MF,pt Portugal,28.0,1986,3,3,225,2.5,0,0,0,0,0,0,0,0,ab1ca213,0.0,0.0,0.0,0.0,0.0
566,Joël Veltman,DF,nl Netherlands,22.0,1992,2,0,15,0.2,0,0,0,0,0,0,0,0,dad4b285,0.0,0.0,0.0,0.0,0.0
567,Paul Verhaegh,DF,nl Netherlands,30.0,1983,1,1,55,0.6,0,0,0,0,0,0,0,0,97655ccd,0.0,0.0,0.0,0.0,0.0
568,Thomas Vermaelen,DF,be Belgium,28.0,1985,1,1,30,0.3,0,0,0,0,0,0,0,0,d0d79694,0.0,0.0,0.0,0.0,0.0
569,Marco Verratti,MF,it Italy,21.0,1992,2,2,130,1.4,0,1,1,0,0,0,0,0,1467af0d,0.69,0.69,0.0,0.0,0.69
570,Jan Vertonghen,DF,be Belgium,27.0,1987,5,4,450,5.0,1,0,1,1,0,0,1,0,ba23a904,0.0,0.2,0.2,0.2,0.2
571,Arturo Vidal,MF,cl Chile,27.0,1987,3,3,232,2.6,0,0,0,0,0,0,1,0,67cdbc0e,0.0,0.0,0.0,0.0,0.0
572,Vieirinha,DF,pt Portugal,28.0,1986,1,0,22,0.2,0,0,0,0,0,0,0,0,779fe525,0.0,0.0,0.0,0.0,0.0
573,David Villa,FW,es Spain,32.0,1981,1,1,55,0.6,1,0,1,1,0,0,0,0,ade08a67,0.0,1.64,1.64,1.64,1.64
574,Edin Višća,DF,ba Bosnia–Herz,24.0,1990,2,0,27,0.3,0,0,0,0,0,0,0,0,da1185fc,0.0,0.0,0.0,0.0,0.0
575,Ron Vlaar,DF,nl Netherlands,29.0,1985,7,7,690,7.7,0,0,0,0,0,0,0,0,366f6f12,0.0,0.0,0.0,0.0,0.0
576,Michel Vorm,GK,nl Netherlands,30.0,1983,1,0,1,0.0,0,0,0,0,0,0,0,0,1bebde9d,0.0,0.0,0.0,0.0,0.0
577,Ognjen Vranješ,DF,ba Bosnia–Herz,24.0,1989,1,0,30,0.3,0,0,0,0,0,0,0,0,b8ae831b,0.0,0.0,0.0,0.0,0.0
578,Stefan de Vrij,DF,nl Netherlands,22.0,1992,7,7,676,7.5,1,0,1,1,0,0,1,0,d0d8dd44,0.0,0.13,0.13,0.13,0.13
579,Avdija Vršajević,DF,ba Bosnia–Herz,28.0,1986,1,1,90,1.0,1,0,1,1,0,0,0,0,90104ffb,0.0,1.0,1.0,1.0,1.0
580,Šime Vrsaljko,DF,hr Croatia,22.0,1992,2,2,147,1.6,0,0,0,0,0,0,0,0,46a8347f,0.0,0.0,0.0,0.0,0.0
581,Wakaso,MF,gh Ghana,23.0,1990,2,0,28,0.3,0,0,0,0,0,0,0,0,999908af,0.0,0.0,0.0,0.0,0.0
582,Pierre Webó,FW,cm Cameroon,32.0,1982,3,0,52,0.6,0,0,0,0,0,0,0,0,3d6f05ea,0.0,0.0,0.0,0.0,0.0
583,Danny Welbeck,FW,eng England,23.0,1990,2,2,130,1.4,0,0,0,0,0,0,0,0,ce5143da,0.0,0.0,0.0,0.0,0.0
584,Georginio Wijnaldum,FW,nl Netherlands,23.0,1990,7,5,552,6.1,1,0,1,1,0,0,0,0,eb58eef0,0.0,0.16,0.16,0.16,0.16
585,Alex Wilkinson,DF,au Australia,29.0,1984,3,3,270,3.0,0,0,0,0,0,0,0,0,5d92749e,0.0,0.0,0.0,0.0,0.0
586,Willian,FW,br Brazil,25.0,1988,5,1,153,1.7,0,0,0,0,0,0,0,0,8b9ebd03,0.0,0.0,0.0,0.0,0.0
587,Jack Wilshere,MF,eng England,22.0,1992,2,1,90,1.0,0,0,0,0,0,0,0,0,9c318325,0.0,0.0,0.0,0.0,0.0
588,Axel Witsel,DF,be Belgium,25.0,1989,4,4,390,4.3,0,0,0,0,0,0,1,0,5dfc6ad5,0.0,0.0,0.0,0.0,0.0
589,Chris Wondolowski,FW,us United States,31.0,1983,2,0,53,0.6,0,0,0,0,0,0,0,0,37f46eda,0.0,0.0,0.0,0.0,0.0
590,Xavi,MF,es Spain,34.0,1980,1,1,90,1.0,0,0,0,0,0,0,0,0,c1b4188c,0.0,0.0,0.0,0.0,0.0
591,Granit Xhaka,MF,ch Switzerland,21.0,1992,4,4,321,3.6,1,0,1,1,0,0,1,0,e61b8aee,0.0,0.28,0.28,0.28,0.28
592,Didier Ya Konan,FW,ci Côte d'Ivoire,30.0,1984,1,0,13,0.1,0,0,0,0,0,0,0,0,1f73c654,0.0,0.0,0.0,0.0,0.0
593,Hotaru Yamaguchi,MF,jp Japan,23.0,1990,3,2,209,2.3,0,0,0,0,0,0,0,0,8c147c14,0.0,0.0,0.0,0.0,0.0
594,Hassan Yebda,MF,dz Algeria,30.0,1984,1,0,20,0.2,0,0,0,0,0,0,0,0,4907d688,0.0,0.0,0.0,0.0,0.0
595,DeAndre Yedlin,DF,us United States,20.0,1993,3,0,115,1.3,0,0,0,0,0,0,0,0,ae0a7ddf,0.0,0.0,0.0,0.0,0.0
596,Mario Yepes,DF,co Colombia,38.0,1976,4,4,360,4.0,0,0,0,0,0,0,1,0,a7562b55,0.0,0.0,0.0,0.0,0.0
597,Andrey Yeshchenko,DF,ru Russia,30.0,1984,2,1,119,1.3,0,1,1,0,0,0,0,0,d0a01d27,0.76,0.76,0.0,0.0,0.76
598,Joseph Yobo,DF,ng Nigeria,33.0,1980,4,3,332,3.7,0,0,0,0,0,0,0,0,acd633df,0.0,0.0,0.0,0.0,0.0
599,Lee Yong,DF,kr Korea Republic,27.0,1986,3,3,270,3.0,0,0,0,0,0,0,1,0,95e57652,0.0,0.0,0.0,0.0,0.0
600,Maya Yoshida,DF,jp Japan,25.0,1988,3,3,270,3.0,0,0,0,0,0,0,1,0,caffaf5a,0.0,0.0,0.0,0.0,0.0
601,Kim Young-gwon,DF,kr Korea Republic,24.0,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,9459ace1,0.0,0.0,0.0,0.0,0.0
602,Pablo Zabaleta,DF,ar Argentina,29.0,1985,7,7,720,8.0,0,0,0,0,0,0,0,0,6813ac34,0.0,0.0,0.0,0.0,0.0
603,Cristián Zapata,DF,co Colombia,27.0,1986,4,4,360,4.0,0,0,0,0,0,0,0,0,b1deecf8,0.0,0.0,0.0,0.0,0.0
604,Yuri Zhirkov,DF,ru Russia,30.0,1983,1,1,70,0.8,0,0,0,0,0,0,0,0,ed2b33cb,0.0,0.0,0.0,0.0,0.0
605,Didier Zokora,MF,ci Côte d'Ivoire,33.0,1980,2,2,180,2.0,0,0,0,0,0,0,2,0,23921ca7,0.0,0.0,0.0,0.0,0.0
606,Juan Zúñiga,DF,co Colombia,28.0,1985,4,4,360,4.0,0,0,0,0,0,0,0,0,06b34f37,0.0,0.0,0.0,0.0,0.0
