Rank,Player_Name,Position,Team,Age,Birth_Year,Matches_Played,Matches_Started,Minutes_Played,Ninety_Minute_Equivalents,Goals,Assists,Goals_Assists,Non_Penalty_Goals,Penalty_Goals,Penalty_Attempts,Yellow_Cards,Red_Cards,Player_ID,Assists_Per_90,Goal_Contributions_Per_90,Goals_Per_90,Non_Penalty_Goals_Per_90,Non_Penalty_Goal_Contributions_Per_90
394,Victor Moses,FW,ng Nigeria,23.0,1990,2,2,139,1.5,0,0,0,0,0,0,0,0,e726e11e,0.0,0.0,0.0,0.0,0.0
395,Mehdi Mostefa,DF,dz Algeria,30.0,1983,2,2,210,2.3,0,0,0,0,0,0,0,0,b2a138bc,0.0,0.0,0.0,0.0,0.0
396,Thiago Motta,MF,it Italy,31.0,1982,3,1,95,1.1,0,0,0,0,0,0,0,0,57ef0d97,0.0,0.0,0.0,0.0,0.0
397,Benjamin Moukandjo,FW,cm Cameroon,25.0,1988,3,3,237,2.6,0,0,0,0,0,0,0,0,e0312377,0.0,0.0,0.0,0.0,0.0
398,João Moutinho,MF,pt Portugal,27.0,1986,3,3,270,3.0,0,0,0,0,0,0,1,0,f5a00fa4,0.0,0.0,0.0,0.0,0.0
399,Mensur Mujdža,DF,ba Bosnia–Herz,30.0,1984,2,2,158,1.8,0,0,0,0,0,0,0,0,1ebfbf66,0.0,0.0,0.0,0.0,0.0
400,Thomas Müller,FW,de Germany,24.0,1989,7,7,681,7.6,5,3,8,4,1,1,0,0,3c6089ab,0.4,1.06,0.66,0.53,0.93
401,Sulley Muntari,MF,gh Ghana,29.0,1984,2,2,180,2.0,0,1,1,0,0,0,2,0,e185aa52,0.5,0.5,0.0,0.0,0.5
402,Ahmed Musa,FW,ng Nigeria,21.0,1992,4,4,334,3.7,2,0,2,2,0,0,0,0,b7084daf,0.0,0.54,0.54,0.54,0.54
403,Fernando Muslera,GK,uy Uruguay,27.0,1986,4,4,360,4.0,0,0,0,0,0,0,1,0,a2abe631,0.0,0.0,0.0,0.0,0.0
404,Shkodran Mustafi,DF,de Germany,22.0,1992,3,1,132,1.5,0,0,0,0,0,0,0,0,3f2d59fe,0.0,0.0,0.0,0.0,0.0
405,David Myrie,DF,cr Costa Rica,26.0,1988,1,0,42,0.5,0,0,0,0,0,0,0,0,798c050d,0.0,0.0,0.0,0.0,0.0
406,Landry N'Guémo,DF,cm Cameroon,28.0,1985,1,1,90,1.0,0,0,0,0,0,0,0,0,84d036fd,0.0,0.0,0.0,0.0,0.0
407,Yūto Nagatomo,DF,jp Japan,27.0,1986,3,3,270,3.0,0,1,1,0,0,0,0,0,4b6960d2,0.33,0.33,0.0,0.0,0.33
408,Andy Najar,DF,hn Honduras,21.0,1993,2,1,71,0.8,0,0,0,0,0,0,0,0,f8280175,0.0,0.0,0.0,0.0,0.0
409,Nani,FW,pt Portugal,27.0,1986,3,3,270,3.0,1,0,1,1,0,0,0,0,15e9c7e6,0.0,0.33,0.33,0.33,0.33
410,Keylor Navas,GK,cr Costa Rica,27.0,1986,5,5,510,5.7,0,0,0,0,0,0,1,0,ecada4fc,0.0,0.0,0.0,0.0,0.0
411,Javad Nekounam,MF,ir IR Iran,33.0,1980,3,3,270,3.0,0,1,1,0,0,0,1,0,baccd726,0.33,0.33,0.0,0.0,0.33
412,Manuel Neuer,GK,de Germany,28.0,1986,7,7,690,7.7,0,0,0,0,0,0,0,0,8778c910,0.0,0.0,0.0,0.0,0.0
413,Neymar,FW,br Brazil,22.0,1992,5,5,454,5.0,4,1,5,3,1,1,1,0,69384e5d,0.2,0.99,0.79,0.59,0.79
414,Nicolas Nkoulou,DF,cm Cameroon,24.0,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,93cf32a8,0.0,0.0,0.0,0.0,0.0
415,Christian Noboa,MF,ec Ecuador,29.0,1985,3,3,269,3.0,0,0,0,0,0,0,0,0,9d1e8e76,0.0,0.0,0.0,0.0,0.0
416,Dany Nounkeu,DF,cm Cameroon,28.0,1986,2,0,90,1.0,0,0,0,0,0,0,1,0,819a94a2,0.0,0.0,0.0,0.0,0.0
417,Uche Nwofor,FW,ng Nigeria,22.0,1991,2,0,13,0.1,0,0,0,0,0,0,0,0,920ffd96,0.0,0.0,0.0,0.0,0.0
418,Allan Nyom,DF,cm Cameroon,26.0,1988,1,1,90,1.0,0,1,1,0,0,0,0,0,97572117,1.0,1.0,0.0,0.0,1.0
419,Tommy Oar,FW,au Australia,22.0,1991,3,3,203,2.3,0,0,0,0,0,0,0,0,334e61b3,0.0,0.0,0.0,0.0,0.0
420,John Obi Mikel,MF,ng Nigeria,27.0,1987,4,4,360,4.0,0,0,0,0,0,0,1,0,424d5f72,0.0,0.0,0.0,0.0,0.0
421,Godfrey Oboabona,DF,ng Nigeria,23.0,1990,1,1,28,0.3,0,0,0,0,0,0,0,0,35cc25b4,0.0,0.0,0.0,0.0,0.0
422,Guillermo Ochoa,GK,mx Mexico,28.0,1985,4,4,360,4.0,0,0,0,0,0,0,0,0,1e9bde92,0.0,0.0,0.0,0.0,0.0
423,Peter Odemwingie,FW,ng Nigeria,32.0,1981,4,3,281,3.1,1,0,1,1,0,0,0,0,b16150ac,0.0,0.32,0.32,0.32,0.32
424,Shinji Okazaki,FW,jp Japan,28.0,1986,3,3,248,2.8,1,0,1,1,0,0,0,0,68796d61,0.0,0.36,0.36,0.36,0.36
425,Yoshito Ōkubo,FW,jp Japan,32.0,1982,3,2,204,2.3,0,0,0,0,0,0,0,0,930074bb,0.0,0.0,0.0,0.0,0.0
426,Ivica Olić,FW,hr Croatia,34.0,1979,3,3,226,2.5,1,0,1,1,0,0,0,0,1bb54bef,0.0,0.4,0.4,0.4,0.4
427,Kenneth Omeruo,DF,ng Nigeria,20.0,1993,4,4,360,4.0,0,0,0,0,0,0,1,0,0f0aa5b4,0.0,0.0,0.0,0.0,0.0
428,Ogenyi Onazi,MF,ng Nigeria,21.0,1992,4,4,328,3.6,0,0,0,0,0,0,0,0,17310a6c,0.0,0.0,0.0,0.0,0.0
429,Daniel Opare,DF,gh Ghana,23.0,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,49d53c68,0.0,0.0,0.0,0.0,0.0
430,Divock Origi,FW,be Belgium,19.0,1995,5,2,246,2.7,1,0,1,1,0,0,0,0,43a166b4,0.0,0.37,0.37,0.37,0.37
431,Yuya Osako,FW,jp Japan,24.0,1990,2,2,122,1.4,0,0,0,0,0,0,0,0,f69fba57,0.0,0.0,0.0,0.0,0.0
432,Oscar,FW,br Brazil,22.0,1991,7,7,638,7.1,2,2,4,2,0,0,1,0,57fe98dd,0.28,0.56,0.28,0.28,0.56
433,Juwon Oshaniwa,DF,ng Nigeria,23.0,1990,4,4,360,4.0,0,0,0,0,0,0,1,0,2c11a096,0.0,0.0,0.0,0.0,0.0
434,David Ospina,GK,co Colombia,25.0,1988,5,5,444,4.9,0,0,0,0,0,0,0,0,82b1198a,0.0,0.0,0.0,0.0,0.0
435,Mesut Özil,MF,de Germany,25.0,1988,7,7,651,7.2,1,1,2,1,0,0,0,0,16380240,0.14,0.28,0.14,0.14,0.28
